table,column,missing_count,missing_percentage
subscriptions,end_date,17017,82.92
customers,churn_date,15560,81.57
support_tickets,resolution_hours,13366,42.45
support_tickets,resolution_date,13366,42.45
complaints,resolution_date,7348,44.31
customers,annual_income_inr,954,5.0
customers,email,745,3.91
customers,address,380,1.99
subscriptions,plan_id,41,0.2
billing,invoice_id,0,0.0
billing,customer_id,0,0.0
billing,billing_date,0,0.0
billing,billing_period_month,0,0.0
billing,base_amount_inr,0,0.0
billing,gst_amount_inr,0,0.0
billing,total_amount_inr,0,0.0
billing,due_date,0,0.0
billing,payment_status,0,0.0
cities,city_id,0,0.0
cities,city_name,0,0.0
cities,state_id,0,0.0
cities,state_name,0,0.0
cities,zone,0,0.0
cities,region_id,0,0.0
cities,tier,0,0.0
cities,pin_prefix,0,0.0
complaints,complaint_id,0,0.0
complaints,customer_id,0,0.0
complaints,complaint_date,0,0.0
complaints,complaint_type,0,0.0
complaints,severity,0,0.0
complaints,status,0,0.0
contracts,contract_id,0,0.0
contracts,customer_id,0,0.0
contracts,plan_id,0,0.0
contracts,contract_type,0,0.0
contracts,contract_length_months,0,0.0
contracts,start_date,0,0.0
contracts,end_date,0,0.0
contracts,auto_renew,0,0.0
contracts,renewal_status,0,0.0
customer_feedback,feedback_id,0,0.0
customer_feedback,customer_id,0,0.0
customer_feedback,feedback_date,0,0.0
customer_feedback,csat_score,0,0.0
customer_feedback,nps_score,0,0.0
customer_feedback,channel,0,0.0
customer_feedback,feedback_category,0,0.0
customers,customer_id,0,0.0
customers,first_name,0,0.0
customers,last_name,0,0.0
customers,gender,0,0.0
customers,date_of_birth,0,0.0
customers,age,0,0.0
customers,phone_number,0,0.0
customers,city_id,0,0.0
customers,city_name,0,0.0
customers,state_id,0,0.0
customers,pin_code,0,0.0
customers,city_tier,0,0.0
customers,region_id,0,0.0
customers,occupation,0,0.0
customers,customer_segment,0,0.0
customers,product_line,0,0.0
customers,plan_id,0,0.0
customers,acquisition_channel,0,0.0
customers,acquisition_date,0,0.0
customers,tenure_months,0,0.0
customers,customer_status,0,0.0
data_quality_issue_log,table,0,0.0
data_quality_issue_log,issue_type,0,0.0
data_quality_issue_log,rows_affected,0,0.0
devices,device_id,0,0.0
devices,customer_id,0,0.0
devices,brand,0,0.0
devices,model,0,0.0
devices,device_type,0,0.0
devices,device_price_inr,0,0.0
devices,purchase_date,0,0.0
devices,imei,0,0.0
employees,employee_id,0,0.0
employees,employee_name,0,0.0
employees,gender,0,0.0
employees,department,0,0.0
employees,role,0,0.0
employees,store_id,0,0.0
employees,region_id,0,0.0
employees,hire_date,0,0.0
employees,email,0,0.0
marketing_campaigns,campaign_id,0,0.0
marketing_campaigns,campaign_name,0,0.0
marketing_campaigns,channel,0,0.0
marketing_campaigns,target_segment,0,0.0
marketing_campaigns,start_date,0,0.0
marketing_campaigns,end_date,0,0.0
marketing_campaigns,budget_inr,0,0.0
marketing_campaigns,customers_reached,0,0.0
marketing_campaigns,conversions,0,0.0
network_quality,record_id,0,0.0
network_quality,customer_id,0,0.0
network_quality,city_id,0,0.0
network_quality,month,0,0.0
network_quality,avg_signal_strength_dbm,0,0.0
network_quality,dropped_call_rate_pct,0,0.0
network_quality,avg_download_speed_mbps,0,0.0
network_quality,network_downtime_hours,0,0.0
payments,payment_id,0,0.0
payments,invoice_id,0,0.0
payments,customer_id,0,0.0
payments,payment_date,0,0.0
payments,amount_inr,0,0.0
payments,payment_method,0,0.0
payments,payment_status,0,0.0
plan_history,history_id,0,0.0
plan_history,customer_id,0,0.0
plan_history,old_plan_id,0,0.0
plan_history,new_plan_id,0,0.0
plan_history,change_date,0,0.0
plan_history,change_reason,0,0.0
plans,plan_id,0,0.0
plans,plan_name,0,0.0
plans,product_line,0,0.0
plans,billing_cycle,0,0.0
plans,monthly_charge,0,0.0
plans,data_quota_gb,0,0.0
plans,voice_minutes,0,0.0
plans,sms_count,0,0.0
plans,segment,0,0.0
plans,is_active,0,0.0
recharges,recharge_id,0,0.0
recharges,customer_id,0,0.0
recharges,recharge_date,0,0.0
recharges,amount_inr,0,0.0
recharges,plan_id,0,0.0
recharges,payment_method,0,0.0
regions,region_id,0,0.0
regions,region_name,0,0.0
regions,zone_hq_city,0,0.0
retention_campaigns,campaign_id,0,0.0
retention_campaigns,customer_id,0,0.0
retention_campaigns,campaign_name,0,0.0
retention_campaigns,offer_type,0,0.0
retention_campaigns,contact_date,0,0.0
retention_campaigns,channel,0,0.0
retention_campaigns,response,0,0.0
retention_campaigns,retained_flag,0,0.0
states,state_id,0,0.0
states,state_name,0,0.0
states,state_code,0,0.0
states,zone,0,0.0
stores,store_id,0,0.0
stores,store_name,0,0.0
stores,city_id,0,0.0
stores,state_id,0,0.0
stores,region_id,0,0.0
stores,store_type,0,0.0
stores,opened_date,0,0.0
subscriptions,subscription_id,0,0.0
subscriptions,customer_id,0,0.0
subscriptions,start_date,0,0.0
subscriptions,billing_cycle,0,0.0
subscriptions,monthly_charge_inr,0,0.0
subscriptions,subscription_status,0,0.0
support_tickets,ticket_id,0,0.0
support_tickets,customer_id,0,0.0
support_tickets,created_date,0,0.0
support_tickets,category,0,0.0
support_tickets,priority,0,0.0
support_tickets,channel,0,0.0
support_tickets,status,0,0.0
support_tickets,first_contact_resolution,0,0.0
support_tickets,assigned_employee_id,0,0.0
usage_data,usage_id,0,0.0
usage_data,customer_id,0,0.0
usage_data,usage_month,0,0.0
usage_data,data_gb_used,0,0.0
usage_data,data_sessions,0,0.0
usage_sms,usage_id,0,0.0
usage_sms,customer_id,0,0.0
usage_sms,usage_month,0,0.0
usage_sms,sms_sent,0,0.0
usage_sms,sms_received,0,0.0
usage_voice,usage_id,0,0.0
usage_voice,customer_id,0,0.0
usage_voice,usage_month,0,0.0
usage_voice,voice_minutes_used,0,0.0
usage_voice,outgoing_calls,0,0.0
usage_voice,incoming_calls,0,0.0
