cohort_month,retention_3m,retention_6m,retention_12m
2014-01-01,99.8470363288719,99.65583173996177,99.31166347992352
2014-02-01,100.0,100.0,100.0
2014-03-01,100.0,100.0,100.0
2014-04-01,100.0,100.0,100.0
2014-05-01,98.9247311827957,98.9247311827957,98.9247311827957
2014-06-01,100.0,100.0,99.10714285714286
2014-07-01,100.0,98.24561403508771,98.24561403508771
2014-08-01,99.07407407407408,99.07407407407408,99.07407407407408
2014-09-01,99.09909909909909,99.09909909909909,98.1981981981982
2014-10-01,100.0,100.0,99.15966386554622
2014-11-01,100.0,99.11504424778761,99.11504424778761
2014-12-01,100.0,100.0,100.0
2015-01-01,99.13793103448276,96.55172413793103,95.6896551724138
2015-02-01,99.0909090909091,99.0909090909091,99.0909090909091
2015-03-01,100.0,100.0,100.0
2015-04-01,100.0,99.1304347826087,98.26086956521739
2015-05-01,100.0,100.0,99.06542056074767
2015-06-01,100.0,100.0,100.0
2015-07-01,100.0,99.15966386554622,98.31932773109243
2015-08-01,100.0,100.0,100.0
2015-09-01,99.0909090909091,98.18181818181819,97.27272727272728
2015-10-01,97.95918367346938,97.95918367346938,97.95918367346938
2015-11-01,98.33333333333333,98.33333333333333,96.66666666666667
2015-12-01,100.0,100.0,100.0
2016-01-01,100.0,100.0,99.11504424778761
2016-02-01,100.0,100.0,97.9381443298969
2016-03-01,100.0,100.0,100.0
2016-04-01,99.0909090909091,98.18181818181819,97.27272727272728
2016-05-01,100.0,100.0,100.0
2016-06-01,98.18181818181819,97.27272727272728,97.27272727272728
2016-07-01,100.0,99.12280701754386,99.12280701754386
2016-08-01,100.0,100.0,100.0
2016-09-01,100.0,100.0,100.0
2016-10-01,100.0,100.0,99.02912621359224
2016-11-01,100.0,100.0,99.02912621359224
2016-12-01,100.0,100.0,100.0
2017-01-01,99.19354838709677,98.38709677419355,97.58064516129032
2017-02-01,100.0,100.0,100.0
2017-03-01,100.0,100.0,98.9247311827957
2017-04-01,100.0,99.13793103448276,98.27586206896551
2017-05-01,99.14529914529915,98.29059829059828,97.43589743589743
2017-06-01,100.0,100.0,100.0
2017-07-01,100.0,99.12280701754386,98.24561403508771
2017-08-01,99.12280701754386,98.24561403508771,96.49122807017544
2017-09-01,100.0,99.03846153846155,99.03846153846155
2017-10-01,99.24242424242425,97.72727272727273,97.72727272727273
2017-11-01,100.0,100.0,100.0
2017-12-01,100.0,99.25373134328358,98.50746268656717
2018-01-01,100.0,98.27586206896551,97.41379310344827
2018-02-01,100.0,99.1304347826087,98.26086956521739
2018-03-01,99.09909909909909,99.09909909909909,98.1981981981982
2018-04-01,99.09909909909909,99.09909909909909,98.1981981981982
2018-05-01,100.0,100.0,99.0909090909091
2018-06-01,100.0,99.17355371900827,99.17355371900827
2018-07-01,100.0,100.0,99.00990099009901
2018-08-01,98.80952380952381,97.61904761904762,97.61904761904762
2018-09-01,99.10714285714286,99.10714285714286,99.10714285714286
2018-10-01,100.0,100.0,99.19354838709677
2018-11-01,100.0,98.38709677419355,96.7741935483871
2018-12-01,99.1869918699187,99.1869918699187,99.1869918699187
2019-01-01,98.01980198019803,98.01980198019803,96.03960396039604
2019-02-01,99.13793103448276,98.27586206896551,98.27586206896551
2019-03-01,100.0,96.7479674796748,95.9349593495935
2019-04-01,100.0,100.0,100.0
2019-05-01,100.0,99.16666666666667,96.66666666666667
2019-06-01,100.0,99.04761904761905,99.04761904761905
2019-07-01,99.06542056074767,96.26168224299066,95.32710280373831
2019-08-01,99.06542056074767,99.06542056074767,95.32710280373831
2019-09-01,100.0,100.0,100.0
2019-10-01,100.0,100.0,100.0
2019-11-01,100.0,99.05660377358491,98.11320754716981
2019-12-01,99.15254237288136,99.15254237288136,96.61016949152543
2020-01-01,100.0,99.02912621359224,98.05825242718447
2020-02-01,100.0,100.0,96.62921348314607
2020-03-01,100.0,99.20634920634922,98.4126984126984
2020-04-01,100.0,100.0,96.22641509433963
2020-05-01,100.0,100.0,99.11504424778761
2020-06-01,100.0,98.13084112149532,97.19626168224299
2020-07-01,99.1304347826087,99.1304347826087,97.3913043478261
2020-08-01,99.01960784313727,99.01960784313727,97.05882352941177
2020-09-01,99.24242424242425,97.72727272727273,96.96969696969697
2020-10-01,99.0,97.0,96.0
2020-11-01,98.27586206896551,98.27586206896551,97.41379310344827
2020-12-01,100.0,100.0,99.0
2021-01-01,100.0,99.20634920634922,97.61904761904762
2021-02-01,100.0,99.08256880733946,98.1651376146789
2021-03-01,100.0,100.0,95.86776859504133
2021-04-01,99.02912621359224,98.05825242718447,98.05825242718447
2021-05-01,100.0,100.0,100.0
2021-06-01,100.0,100.0,99.06542056074767
2021-07-01,100.0,98.3739837398374,96.7479674796748
2021-08-01,98.91304347826086,98.91304347826086,97.82608695652173
2021-09-01,100.0,99.02912621359224,96.11650485436894
2021-10-01,98.86363636363636,98.86363636363636,97.72727272727273
2021-11-01,100.0,99.04761904761905,95.23809523809523
2021-12-01,100.0,99.0909090909091,94.54545454545455
2022-01-01,98.44961240310077,96.89922480620154,95.34883720930233
2022-02-01,96.96969696969697,94.94949494949495,92.92929292929293
2022-03-01,98.33333333333333,98.33333333333333,96.66666666666667
2022-04-01,100.0,99.1304347826087,98.26086956521739
2022-05-01,99.19354838709677,99.19354838709677,97.58064516129032
2022-06-01,98.1651376146789,95.41284403669725,92.66055045871559
2022-07-01,99.01960784313727,98.0392156862745,95.09803921568627
2022-08-01,99.0,96.0,96.0
2022-09-01,100.0,98.9795918367347,95.91836734693877
2022-10-01,99.13793103448276,97.41379310344827,93.96551724137932
2022-11-01,100.0,98.34710743801654,95.0413223140496
2022-12-01,98.9795918367347,97.95918367346938,95.91836734693877
2023-01-01,99.16666666666667,99.16666666666667,99.16666666666667
